Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP124389	198	19	26	26	2	74	9	3	18	0	18	8	13	9	0
SP124362	494	5	83	76	21	55	42	0	102	22	54	24	43	5	0
SP124394	212	9	30	132	0	45	48	13	31	54	19	9	0	3	0
SP124334	210	15	71	76	6	12	118	0	3	1	4	11	6	14	1
SP124339	1	2	19	32	2	0	11	0	13	3	3	12	18	13	0
SP124454	126	24	71	77	3	50	43	4	24	5	7	7	8	11	0
SP124380	316	16	27	51	0	13	38	4	172	16	52	7	21	13	0
SP124273	11	21	234	20	7	46	49	3	20	0	12	6	47	13	2
SP124357	12	38	46	29	5	6	47	0	70	6	10	8	26	10	0
SP124399	331	18	114	171	13	76	37	0	64	44	76	7	40	3	0
SP124311	394	9	56	248	0	39	6	6	122	32	57	34	10	2	0
SP124355	8	10	61	28	6	0	42	0	26	3	4	3	13	19	0
SP124434	246	27	46	56	9	57	44	4	15	54	40	13	19	8	4
SP124428	598	26	169	189	42	92	184	9	0	258	84	22	39	4	2
SP124449	247	51	139	66	33	29	50	2	90	0	42	6	24	2	0
SP124298	693	27	118	502	35	141	37	14	180	130	177	30	19	3	1
SP124431	208	9	38	182	0	22	59	8	85	36	30	7	0	10	2
SP124396	146	100	121	61	0	46	41	1	34	24	18	28	23	26	0
SP124409	450	19	102	82	24	134	78	0	115	25	87	21	0	17	0
SP124341	11	31	73	3	0	61	104	1	31	11	7	6	19	5	0
SP124353	2	1	23	23	0	15	41	2	0	1	6	3	9	13	1
SP124278	5	30	146	15	0	26	16	3	29	16	0	11	35	8	0
SP124376	137	24	46	86	0	29	50	7	18	66	0	19	22	17	0
SP124346	50	22	203	17	0	30	111	0	18	6	0	22	59	7	0
SP124439	628	30	31	129	42	92	0	13	73	10	122	11	16	12	13
SP124351	7	7	30	27	4	14	10	0	20	5	1	4	4	2	0
SP124406	184	75	2	79	0	56	75	5	0	36	21	76	0	119	0
SP124323	10	20	71	19	0	16	19	1	24	14	0	2	10	15	0
SP124391	14	9	70	31	0	19	66	7	32	14	6	9	36	6	3
SP124423	32	0	11	8	0	13	4	0	1	1	0	4	5	0	0
SP124382	1377	21	23	794	3	267	306	6	0	152	108	57	3	25	11
SP124415	834	37	85	103	99	264	64	19	151	15	480	12	0	10	61
SP124436	896	36	207	353	31	143	208	2	186	15	94	61	21	31	0
SP124460	438	52	97	65	24	73	69	0	37	31	68	23	36	11	0
SP124425	157	6	16	100	0	33	2	3	54	22	10	6	3	3	0
SP124456	99	32	10	172	0	6	0	7	26	50	12	2	0	28	0
SP124367	297	23	45	153	15	41	85	0	4	21	32	21	0	16	3
SP124281	7	8	71	5	1	16	8	5	27	5	9	8	11	1	0
SP124377	166	2	29	151	0	19	67	6	4	81	0	16	5	11	1
SP124412	213	7	35	121	0	16	0	7	36	4	0	13	0	15	0
SP124333	73	10	39	73	5	38	68	1	30	17	11	10	8	3	0
SP124359	1	32	133	27	4	11	94	1	37	8	13	12	34	10	0
SP124286	2	19	29	11	0	0	19	0	18	3	0	4	0	6	0
SP124329	96	0	4	39	0	18	7	0	13	24	0	8	6	3	0
SP124326	89	23	94	103	0	25	59	3	16	17	13	16	30	10	0
SP124458	324	31	30	299	0	53	62	13	117	126	35	22	0	16	0
SP124401	1260	65	130	367	6	159	130	26	130	146	178	35	37	23	29
SP124264	13	20	97	8	15	80	247	0	47	0	0	12	0	10	0
SP124384	395	16834	3053	102	0	238	355	9	217	77	0	75	0	147	498
SP124403	33	3	0	54	1	7	9	0	17	13	7	2	6	3	0
SP124462	280	41	76	199	0	42	103	12	77	46	28	30	8	22	0
SP124271	26	49	299	79	14	52	161	0	156	14	8	13	6	7	0
SP124336	10	1	185	23	7	40	63	0	17	2	9	11	65	21	0
SP124452	213	18	41	215	0	17	52	11	0	30	15	11	8	12	6
SP124386	284	21	71	151	25	63	0	0	13	130	44	14	29	27	0
SP124441	6	110	92	20	0	28	152	3	39	18	2	10	3	56	0
SP124418	288	11	24	109	12	70	1	2	44	11	29	11	11	5	0
SP124291	1	18	104	34	1	23	34	0	19	15	0	8	9	30	5
SP124319	385	7	19	99	4	33	0	0	28	35	19	10	4	14	0
SP124305	75	1	90	57	0	50	1	4	91	16	0	18	42	10	0
SP124447	1099	82	77	956	24	199	353	35	116	536	289	70	18	0	38
SP124344	0	9	46	11	5	14	71	2	18	11	8	7	9	14	0
