Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
DRUP01090019T	1208	0.994	220.863	18.283%	40.135	10.543%	0.05521	0.994
CPCT02120144T	312	0.911	147.254	47.197%	27.476	41.44%	0.20449	0.876
CPCT02080240T	883	0.996	179.923	20.376%	29.787	10.275%	0.05625	0.995
CPCT02130125T	508	0.99	104.194	20.511%	16.931	14.345%	0.06824	0.987
CPCT02070355T	200	0.966	71.825	35.912%	11.28	25.96%	0.19323	0.954
CPCT02010872T	207	0.945	78.865	38.099%	14.261	34.081%	0.18231	0.923
CPCT02010878T	583	0.96	214.325	36.762%	48.986	28.486%	0.16098	0.953
CPCT02090054T	3482	0.996	596.134	17.12%	107.071	9.058%	0.04138	0.995
CPCT02330117T	1081	0.996	196.782	18.204%	33.584	9.192%	0.05372	0.996
CPCT02170031T	1560	0.998	246.626	15.809%	50.602	6.895%	0.04479	0.998
CPCT02020765T	710	0.937	305.532	43.033%	63.445	36.079%	0.17461	0.923
CPCT02010851T	251	0.988	66.788	26.609%	10.338	15.687%	0.10511	0.985
CPCT02020756T	456	0.962	150.089	32.914%	26.235	27.884%	0.12837	0.948
DRUP01170001T	984	0.984	332.871	33.828%	76.658	18.204%	0.13827	0.983
WIDE01010617T	712	0.993	164.792	23.145%	26.662	11.548%	0.08804	0.993
WIDE01010627T	251	0.938	94.31	37.574%	18.866	34.788%	0.20416	0.916
CPCT02030502T	419	0.962	141.976	33.884%	24.381	27.499%	0.13599	0.948
CPCT02030507T	589	0.997	100.606	17.081%	16.506	7.683%	0.07724	0.997
WIDE01010595T	1114	0.997	202.856	18.21%	39.638	7.515%	0.06854	0.997
CPCT02040273T	440	0.986	115.663	26.287%	20.599	16.957%	0.11891	0.983
CPCT02030520T	645	0.992	162.561	25.203%	27.747	13.578%	0.0677	0.992
CPCT02110075T	2092	0.999	249.567	11.93%	46.797	5.049%	0.02853	0.999
CPCT02290050T	710	0.996	133.318	18.777%	20.583	9.665%	0.05312	0.995
CPCT02290053T	248	0.99	64.358	25.951%	9.286	14.187%	0.12679	0.989
CPCT02080257T	316	0.985	94.882	30.026%	14.698	18.642%	0.12761	0.982
CPCT02290054T	422	0.992	96.908	22.964%	16.554	12.634%	0.08481	0.991
CPCT02080256T	509	0.993	129.669	25.475%	20.338	12.514%	0.09788	0.992
CPCT02030497T	2464	0.991	327.007	13.271%	75.75	13.338%	0.02041	0.988
DRUP01290001T	2838	0.999	336.206	11.847%	60.043	4.851%	0.02715	0.999
CPCT02070372T	259	0.971	84.551	32.645%	14.401	24.304%	0.1339	0.962
CPCT02290051T	286	0.974	108.343	37.882%	21.259	25.86%	0.15349	0.971
CPCT02020815T	7353	0.999	390.459	5.31%	85.609	4.417%	0.00427	0.999
CPCT02040271T	402	0.977	132.222	32.891%	23.891	23.436%	0.13186	0.974
CPCT02130154T	220	0.969	93.107	42.321%	14.451	26.552%	0.21818	0.963
CPCT02120164T	2972	0.996	361.139	12.151%	67.166	8.697%	0.01751	0.995
CPCT02020797T	182	0.975	73.952	40.633%	10.833	22.385%	0.22888	0.97
DRUP01010099T	959	0.997	179.108	18.677%	27.026	7.284%	0.06374	0.997
CPCT02340104T	296	0.959	99.075	33.471%	17.15	28.418%	0.14531	0.942
CPCT02380018T	1488	0.976	476.049	31.993%	86.669	22.438%	0.1128	0.971
CPCT02340010TIII	2925	0.998	316.301	10.814%	66.385	7.904%	0.01165	0.998
CPCT02060033TII	847	0.992	163.075	19.253%	27.589	13.353%	0.05279	0.99
CPCT02020582T	334	0.979	105.486	31.583%	16.533	20.631%	0.16123	0.973
DRUP01050040T	1165	0.997	254.925	21.882%	53.019	10.053%	0.06778	0.997
CPCT02180041T	710	0.993	141.371	19.911%	22.842	11.508%	0.07783	0.992
CPCT02060137T	161	0.953	58.58	36.385%	10.848	30.333%	0.21349	0.937
CPCT02070403T	113	0.884	66.944	59.242%	11.522	46.921%	0.35118	0.841
CPCT02050264T	700	0.998	112.531	16.076%	16.792	6.713%	0.04659	0.998
CPCT02060143T	2783	0.997	331.09	11.897%	56.156	7.753%	0.02455	0.996
CPCT02010988T	303	0.977	96.302	31.783%	15.736	21.19%	0.13243	0.972
CPCT02010993T	780	0.979	183.115	23.476%	33.16	20.611%	0.06684	0.971
CPCT02450003T	608	0.993	149.575	24.601%	26.938	13.747%	0.07389	0.993
CPCT02230049T	1684	0.952	573.02	34.027%	114.619	31.211%	0.11155	0.937
CPCT02010995T	547	0.99	122.44	22.384%	20.226	13.861%	0.07112	0.988
CPCT02010878TII	635	0.963	230.312	36.27%	46.937	26.875%	0.15194	0.956
CPCT02010656T	145	0.968	80.696	55.652%	13.824	28.474%	0.35981	0.966
CPCT02010645T	254	0.985	78.759	31.007%	13.381	18.377%	0.14638	0.983
DRUP01330016T	2748	0.996	467.427	17.01%	82.694	9.586%	0.04659	0.995
DRUP01080005T	4234	0.997	450.888	10.649%	88.413	8.549%	0.01531	0.996
CPCT02020879T	442	0.975	132.998	30.09%	25.18	22.189%	0.11321	0.97
DRUP01090004T	817	0.974	205.281	25.126%	34.052	22.835%	0.07852	0.958
CPCT02020613T	621	0.985	144.363	23.247%	26.041	17.35%	0.0659	0.981
DRUP01110006T	827	0.998	134.514	16.265%	21.953	6.392%	0.04848	0.998
CPCT02010993TII	756	0.977	190.708	25.226%	35.631	21.693%	0.06469	0.97
CPCT02060125T	828	0.995	155.727	18.808%	25.968	10.76%	0.05073	0.994
CPCT02010647T	731	0.985	194.88	26.659%	45.335	17.655%	0.12018	0.983
CPCT02170013T	1788	0.998	297.83	16.657%	55.598	6.602%	0.05281	0.998
CPCT02170009T	390	0.989	95.028	24.366%	14.882	14.824%	0.10357	0.987
CPCT02170012T	640	0.983	226.366	35.37%	47.827	21.284%	0.13428	0.982
CPCT02020608T	265	0.973	131.04	49.449%	24.616	27.906%	0.25977	0.973
CPCT02010653T	291	0.981	106.098	36.46%	17.663	21.58%	0.1853	0.978
CPCT02230061T	1194	0.998	166.687	13.96%	31.307	7.156%	0.03865	0.997
CPCT02050282T	1282	0.998	199.205	15.539%	29.584	6.894%	0.04804	0.997
CPCT02010560T	139	0.954	57.778	41.567%	8.802	30.534%	0.22017	0.937
CPCT02380007T	220	0.991	64.288	29.222%	9.771	13.587%	0.15619	0.99
CPCT02380006T	1615	0.994	226.046	13.997%	39.038	10.882%	0.02817	0.993
CPCT02080105T	3716	0.998	354.784	9.547%	63.366	7.244%	0.01312	0.997
CPCT02340010T	2780	0.999	185.557	6.675%	41.494	5.035%	0.00739	0.999
CPCT02010574T	303	0.986	90.093	29.734%	14.198	16.804%	0.12271	0.984
CPCT02180026T	1974	0.996	396.661	20.094%	67.771	10.641%	0.05013	0.996
CPCT02100074T	510	0.996	105.073	20.603%	15.79	9.181%	0.0841	0.996
CPCT02120018T	437	0.99	120.056	27.473%	19.362	14.893%	0.11535	0.988
CPCT02380008T	622	0.998	114.552	18.417%	21.505	6.734%	0.06699	0.998
CPCT02170003T	362	0.984	131.636	36.364%	24.747	22.295%	0.14018	0.983
CPCT02020523T	505	0.984	133.95	26.525%	20.945	18.298%	0.10079	0.98
CPCT02060081T	567	0.996	114.628	20.217%	17.665	8.983%	0.0755	0.996
CPCT02110035T	247	0.963	80.24	32.486%	13.655	29.594%	0.13593	0.949
CPCT02080118T	328	0.985	104.985	32.008%	17.631	18.095%	0.17435	0.983
CPCT02010589T	176	0.929	80.302	45.626%	14.04	38.184%	0.23361	0.902
CPCT02030349T	55964	1.0	3380.49	6.04%	825.918	2.29%	0.00975	1.0
CPCT02110039T	519	0.994	126.938	24.458%	20.946	10.731%	0.09628	0.994
CPCT02030353T	2368	0.972	771.302	32.572%	145.006	24.287%	0.11223	0.965
CPCT02020540T	1508	0.992	243.026	16.116%	41.94	12.916%	0.03279	0.99
CPCT02010611T	102	0.95	47.543	46.611%	7.504	31.376%	0.27779	0.935
CPCT02010608T	264	0.95	103.769	39.306%	18.165	31.394%	0.19108	0.933
CPCT02330041T	3208	0.978	822.528	25.64%	222.996	21.84%	0.08313	0.976
CPCT02380013T	161	0.941	66.891	41.547%	11.676	34.719%	0.24539	0.92
CPCT02010613T	231	0.932	93.279	40.381%	16.309	38.031%	0.17955	0.899
CPCT02010577T	313	0.972	106.942	34.167%	17.228	25.521%	0.14258	0.964
CPCT02050202T	393	0.982	119.301	30.356%	19.066	19.624%	0.1382	0.978
CPCT02020559T	1114	0.989	261.015	23.43%	47.325	16.77%	0.06155	0.987
