Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CPCT02020623T	939	0.998	128.849	13.722%	20.058	5.966%	0.03609	0.998
CPCT02290023T	1052	0.998	162.008	15.4%	25.003	6.737%	0.03999	0.998
DRUP01010022T	53409	1.0	3719.644	6.964%	1155.638	3.208%	0.00924	1.0
CPCT02070159T	751	0.999	108.316	14.423%	16.864	5.853%	0.04807	0.998
CPCT02030354T	364	0.991	82.526	22.672%	13.054	13.737%	0.08147	0.988
CPCT02020565T	493	0.994	115.428	23.413%	17.405	11.409%	0.09833	0.993
CPCT02060114T	520	0.989	97.375	18.726%	16.538	14.522%	0.06197	0.986
CPCT02060118T	641	0.995	99.634	15.544%	15.482	9.889%	0.05221	0.994
CPCT02220002T	361	0.99	93.412	25.876%	14.17	14.306%	0.11315	0.988
DRUP01030002T	689	0.995	121.787	17.676%	19.809	10.155%	0.05924	0.994
CPCT02070060T	1361	0.996	178.037	13.081%	26.566	8.406%	0.03203	0.995
CPCT02030320T	1143	0.999	165.427	14.473%	25.752	4.665%	0.04558	0.999
CPCT02060035T	540	0.998	97.328	18.024%	14.122	6.751%	0.0715	0.998
CPCT02070110T	601	0.994	119.054	19.809%	19.166	11.155%	0.05966	0.993
CPCT02020492T	766	0.991	138.341	18.06%	20.602	13.345%	0.05479	0.987
CPCT02030327T	434	0.994	91.086	20.988%	14.593	10.895%	0.08382	0.993
CPCT02020503T	1260	0.995	166.972	13.252%	28.035	10.218%	0.02939	0.993
CPCT02380029T	86292	1.0	4665.396	5.407%	1469.316	2.431%	0.0059	1.0
CPCT02020636T	1034	0.99	176.729	17.092%	30.409	14.127%	0.03546	0.986
CPCT02130013T	1241	0.994	166.81	13.442%	28.016	10.881%	0.03137	0.992
DRUP01110002T	83496	1.0	5679.86	6.803%	1360.972	2.666%	0.00916	1.0
WIDE01010639T	626	0.999	104.788	16.739%	15.487	5.631%	0.07499	0.999
DRUP01010167T	42684	1.0	2949.477	6.91%	876.506	3.257%	0.00899	1.0
WIDE01010570T	1042	0.997	133.762	12.837%	22.703	7.331%	0.03728	0.997
