MutationType	CPCT02070011T	CPCT02020317T	CPCT02010352T	CPCT02010362T	CPCT02010366T	CPCT02010383T	CPCT02050049T	CPCT02020350T	CPCT02060023T	CPCT02080030T	CPCT02060010T	CPCT02040037T	CPCT02070018T	CPCT02080041T	CPCT02070029T	CPCT02060033T	CPCT02020399T	CPCT02140024T	CPCT02080050T	CPCT02030293T	CPCT02010441T	CPCT02090030T	CPCT02010718T	CPCT02020653T	CPCT02340008TII	CPCT02020876T	CPCT02370016T	CPCT02070275T	CPCT02011028T	CPCT02230072T	CPCT02130028T	CPCT02060182T	CPCT02020657T	DRUP01090026T	CPCT02130029T	CPCT02340010TII	DRUP01020022T	CPCT02120103T	CPCT02300030T	CPCT02150044T	CPCT02020920T	CPCT02080192T	CPCT02130170T	CPCT02260014T	CPCT02020922T	CPCT02011072T	CPCT02010758T	WIDE01010006T	CPCT02040220T	CPCT02100157T	CPCT02230088T	CPCT02130178T	WIDE01010017T	WIDE01010025T	WIDE01010028T	WIDE01010012T	WIDE01010031T	CPCT02020956T	CPCT02010774T	CPCT02010756T	WIDE01010045T	CPCT02080204T	WIDE01010037T	WIDE01010056T	CPCT02070298T	WIDE01010594T	WIDE01010078T	CPCT02130054T	CPCT02040228T	WIDE01010051T	CPCT02050319T	CPCT02020689T	WIDE01010043T	WIDE01010112T	WIDE01010092T	WIDE01010119T	CPCT02170022T	WIDE01010120T	WIDE01010127T	CPCT02300036T	WIDE01010146T	CPCT02070309T	WIDE01010157T	WIDE01010170T	CPCT02020696T	CPCT02030471T	CPCT02130032T	CPCT02070310T	WIDE01010164T	WIDE01010190T	WIDE01010182T	DRUP01050040TII	WIDE01010225T	CPCT02050348T	WIDE01010275T	CPCT02010810T	CPCT02060206T	WIDE01010284T	WIDE01010330T	WIDE01010312T	WIDE01010317T	WIDE01010337T	CPCT02220043T	CPCT02130094T	WIDE01010329T	WIDE01010331T	CPCT02010828T	WIDE01010101T	WIDE01010349T	WIDE01010342T	WIDE01010359T	WIDE01010370T	WIDE01010369T	CPCT02340084T	DRUP01030015T	CPCT02060236T	CPCT02120125T	CPCT02230098T	DRUP01090015T	WIDE01010401T	CPCT02230105T	CPCT02080223T	CPCT02020730T	CPCT02010831T	WIDE01010428T	CPCT02290039T	CPCT02010843T	CPCT02130103T	CPCT02070337T	WIDE01010440T	WIDE01010404T	CPCT02080229T	CPCT02050363T	CPCT02040250T	CPCT02040251T	CPCT02260022T	CPCT02340090T	CPCT02450013T	CPCT02070347T	CPCT02060140T	CPCT02020720T	CPCT02230109T	DRUP01090019T	CPCT02120144T	CPCT02080240T	CPCT02130125T	CPCT02070355T	CPCT02010872T	CPCT02010878T	CPCT02090054T	CPCT02330117T	CPCT02170031T	CPCT02020765T	CPCT02010851T	CPCT02020756T	DRUP01170001T	WIDE01010617T	WIDE01010627T	CPCT02030502T	CPCT02030507T	WIDE01010595T	CPCT02040273T	CPCT02030520T	CPCT02110075T	CPCT02290050T	CPCT02290053T	CPCT02080257T	CPCT02290054T	CPCT02080256T	CPCT02030497T	DRUP01290001T	CPCT02070372T	CPCT02290051T	CPCT02020815T	CPCT02040271T	CPCT02130154T	CPCT02120164T	CPCT02020797T	DRUP01010099T	CPCT02340104T	CPCT02380018T	CPCT02340010TIII	CPCT02060033TII	CPCT02020582T	DRUP01050040T	CPCT02180041T	CPCT02060137T	CPCT02070403T	CPCT02050264T	CPCT02060143T	CPCT02010988T	CPCT02010993T	CPCT02450003T	CPCT02230049T	CPCT02010995T	CPCT02010878TII	CPCT02010656T	CPCT02010645T	DRUP01330016T	DRUP01080005T	CPCT02020879T	DRUP01090004T	CPCT02020613T	DRUP01110006T	CPCT02010993TII	CPCT02060125T	CPCT02010647T	CPCT02170013T	CPCT02170009T	CPCT02170012T	CPCT02020608T	CPCT02010653T	CPCT02230061T	CPCT02050282T	CPCT02010560T	CPCT02380007T	CPCT02380006T	CPCT02080105T	CPCT02340010T	CPCT02010574T	CPCT02180026T	CPCT02100074T	CPCT02120018T	CPCT02380008T	CPCT02170003T	CPCT02020523T	CPCT02060081T	CPCT02110035T	CPCT02080118T	CPCT02010589T	CPCT02030349T	CPCT02110039T	CPCT02030353T	CPCT02020540T	CPCT02010611T	CPCT02010608T	CPCT02330041T	CPCT02380013T	CPCT02010613T	CPCT02010577T	CPCT02050202T	CPCT02020559T	CPCT02050213T	CPCT02020568T	CPCT02030364T	CPCT02050192T	CPCT02010596T	CPCT02030365T	DRUP01010036T	CPCT02230043T	CPCT02080135T	CPCT02050229T	CPCT02010632T	CPCT02020579T	CPCT02020587T	CPCT02070040T	CPCT02070050T	CPCT02300004T	CPCT02020424T	CPCT02020433T	CPCT02010466T	CPCT02010454T	CPCT02140036T	CPCT02010350T	CPCT02100039T	CPCT02050106T	CPCT02020415T	CPCT02180014T	CPCT02090006T	CPCT02020444T	CPCT02030314T	CPCT02190010T	DRUP01010013T	CPCT02080086T	CPCT02010438T	CPCT02190012T	CPCT02010486T	CPCT02060077T	CPCT02020491T	CPCT02010538T	CPCT02170001T	CPCT02170002T	CPCT02050142T	CPCT02080071T	CPCT02020499T	CPCT02340008T	CPCT02020505T	CPCT02080158T	CPCT02010571T	CPCT02380010T	CPCT02110047T	CPCT02030425T	CPCT02080168T	CPCT02020641T	CPCT02230065T	CPCT02330074T	CPCT02010697T	CPCT02090028T	CPCT02450008T	CPCT02010688T	CPCT02020646T	CPCT02010704T	CPCT02010705T	CPCT02250003T	CPCT02010698T	WIDE01010622T	WIDE01010631T	WIDE01010635T	WIDE01010636T	WIDE01010658T	WIDE01010504T	WIDE01010493T	WIDE01010304T	WIDE01010568T	WIDE01010464T	WIDE01010467T	WIDE01010486T	WIDE01010516T	WIDE01010510T	WIDE01010583T	WIDE01010566T	WIDE01010578T	WIDE01010599T	WIDE01010604T	WIDE01010614T	WIDE01010662T	WIDE01010672T	WIDE01010686T	WIDE01010532T	WIDE01010703T	WIDE01010712T	WIDE01010721T	WIDE01010663T
[Del(C):R1]A	18	10	2	1	1	2	4	4	8	129	17	10	8	16	10	7	30	14	4	9	137	6	8	6	5	3	7	7	15	175	5	7	5	10	2	9	4	6	3	4	6	3	21	18	0	2	6	2	3	10	563	7	13	3	23	12	7	0	4	6	11	2	20	10	17	4	22	7	3	17	8	6	5	10	6	9	6	3	301	14	10	6	147	2	2	4	8	20	18	8	29	16	7	20	14	3	276	3	6	215	21	26	30	12	117	1	61	167	9	7	1	6	4	23	14	5	128	17	3	9	6	9	20	76	6	21	5	9	5	1	8	23	9	4	22	11	5	1	27	5	1	11	13	3	27	10	2	4	41	58	12	7	8	5	11	5	11	5	11	6	13	8	4	16	13	1	6	4	4	96	23	2	2	485	11	5	76	2	7	7	12	11	7	6	11	9	6	2	10	75	9	11	9	37	17	39	1	5	31	244	5	16	16	8	9	9	7	16	9	2	2	3	8	13	3	1	67	168	11	9	21	9	9	8	5	10	8	5	9	3	93	2	35	51	2	8	110	2	7	3	8	18	5	5	1	5	1	5	4	8	22	2	2	6	22	16	16	8	7	2	1	1	9	3	34	16	4	9	9	28	5	6	4	242	3	40	3	14	269	6	6	7	0	36	3	12	16	13	3	7	8	26	5	4	11	17	0	24	6	4	6	7	8	25	6	18	12	6	51	54	4	1	4	6	59	0	3	7	6	8	8	37	11	25	7	9	0	4	18	9	7	14	5
[Del(C):R1]T	20	7	3	6	2	5	16	8	12	79	31	15	19	27	21	17	83	14	13	13	84	7	6	7	2	7	30	11	22	626	17	3	8	6	6	5	8	6	12	7	16	8	27	16	5	3	12	2	4	11	345	11	17	13	46	20	17	2	7	5	8	5	30	13	4	11	33	7	6	8	9	1	11	22	3	11	8	4	208	21	4	10	92	11	4	5	7	24	34	11	35	149	34	38	14	5	164	10	7	142	43	21	81	18	66	2	37	90	18	3	5	12	3	25	26	10	81	12	2	21	7	25	31	97	8	56	5	12	31	7	32	13	17	7	13	12	4	5	19	7	4	14	28	7	20	14	6	3	27	127	18	9	16	6	17	102	18	3	18	6	11	5	10	17	12	5	4	6	3	72	60	5	14	274	10	7	77	3	11	1	34	7	13	8	53	9	6	1	8	67	5	15	3	29	11	26	2	6	47	137	9	19	21	16	13	8	8	18	7	57	2	8	8	31	4	3	40	122	7	3	35	6	14	6	8	10	10	3	2	1	78	5	53	32	3	12	214	2	6	3	10	16	7	10	5	2	5	2	5	16	24	2	3	9	24	20	18	10	10	7	7	4	18	3	38	14	8	7	1	14	14	9	7	127	3	21	3	8	145	14	8	9	7	52	9	5	19	8	11	18	22	15	2	5	15	28	6	44	8	2	0	8	10	19	4	28	11	14	36	35	12	7	4	4	90	5	7	6	15	17	8	37	14	16	13	20	6	7	14	8	9	16	7
[Del(C):R2]A	7	7	1	4	0	3	3	7	13	247	19	4	3	20	5	3	7	5	3	7	38	9	2	6	2	2	9	1	10	85	2	3	4	6	1	4	2	2	8	4	5	5	9	7	1	3	3	1	3	4	652	6	5	0	15	8	21	4	5	4	2	5	10	2	1	5	17	8	4	5	4	4	1	13	1	8	2	8	401	9	6	6	183	2	9	3	8	8	7	4	22	3	5	9	15	3	355	2	2	354	10	46	13	6	205	3	97	193	3	4	1	4	4	37	12	4	162	3	2	7	7	6	17	141	0	12	1	12	6	0	5	38	9	0	22	3	3	3	14	5	2	4	19	1	34	4	4	5	11	52	10	7	3	4	9	5	9	1	11	0	3	3	9	8	12	3	4	5	2	198	11	8	4	594	7	5	147	1	7	4	10	6	4	9	2	6	3	0	4	116	4	8	10	31	8	11	2	5	23	337	8	6	6	11	10	7	1	3	5	5	4	8	10	8	2	2	110	240	5	2	17	3	7	6	7	0	4	1	4	1	35	2	20	64	0	2	75	1	2	2	2	8	11	9	5	3	1	1	4	4	11	2	1	4	24	6	4	6	3	4	1	3	6	3	5	19	3	11	3	14	5	2	7	333	1	26	3	4	487	7	4	3	3	33	5	3	18	12	2	6	6	27	1	5	3	10	3	17	4	2	4	3	3	14	3	18	3	4	59	54	6	2	0	2	22	3	3	4	7	4	4	15	6	4	4	6	2	2	6	4	4	6	7
[Del(C):R2]T	6	3	3	1	3	4	8	3	16	126	27	6	10	29	13	8	26	11	6	2	47	4	6	6	2	3	16	3	12	194	5	1	5	6	3	10	6	2	2	4	2	10	20	8	1	3	6	1	2	10	447	0	9	2	23	9	16	1	3	7	5	3	11	7	10	5	11	6	2	7	0	2	7	12	1	5	7	2	269	15	8	6	107	1	3	4	3	8	12	6	17	36	7	16	11	4	218	4	4	197	24	25	25	20	123	1	57	115	9	6	5	6	4	19	12	1	86	3	5	11	1	12	27	91	2	8	5	10	11	9	12	14	12	3	12	4	7	6	10	7	4	7	18	7	19	6	2	1	15	57	6	10	10	4	11	22	17	5	14	5	5	4	8	8	8	2	3	3	6	116	8	6	8	365	5	2	91	0	2	3	16	8	8	2	14	8	5	4	4	76	2	13	3	27	6	14	1	2	24	200	6	10	11	8	12	10	3	5	5	12	2	3	8	17	2	4	45	159	9	6	21	9	4	4	4	5	7	4	6	5	42	2	27	45	1	7	63	2	3	2	5	4	6	6	6	3	4	2	3	3	25	3	1	6	19	9	9	5	5	3	3	3	10	1	13	14	5	9	3	10	7	2	2	199	9	12	1	6	266	2	6	7	2	31	1	5	21	15	8	6	7	22	3	3	9	27	3	16	10	1	5	2	1	11	1	11	3	10	36	38	1	1	6	5	24	5	3	7	5	8	6	15	6	3	5	6	0	3	13	6	6	9	2
[Del(C):R3]A	10	1	0	2	0	0	1	3	4	210	16	2	7	10	3	5	11	8	6	2	47	2	1	4	1	2	5	3	2	65	0	3	0	2	2	3	0	1	1	1	7	1	9	6	3	2	4	0	5	1	660	5	2	2	7	5	16	3	4	0	5	3	5	2	3	1	9	5	0	6	1	3	2	5	1	3	1	1	400	14	5	3	181	1	6	1	4	3	9	0	7	0	2	2	9	3	367	2	0	372	12	32	12	7	206	0	99	190	5	4	2	0	0	36	8	5	182	2	1	4	3	8	9	126	1	5	2	2	5	7	4	35	4	1	18	0	4	1	5	5	3	3	5	2	28	3	1	1	8	29	4	7	3	2	8	4	4	2	4	0	1	5	6	3	6	0	4	7	2	154	5	1	1	615	3	2	138	1	6	3	8	2	3	1	1	7	1	1	2	105	1	7	6	40	6	8	1	2	19	330	2	10	7	4	7	3	2	5	1	3	0	0	2	6	0	2	101	224	3	5	14	1	4	9	3	5	3	0	5	0	53	3	12	72	1	2	23	0	2	1	2	6	1	3	3	3	0	0	2	5	12	0	2	0	14	2	4	3	1	5	1	1	2	2	6	11	0	4	2	10	2	2	2	321	2	15	5	3	514	2	4	2	1	15	5	1	5	4	4	2	6	18	2	2	1	7	3	11	2	3	3	5	2	5	2	22	2	2	48	60	0	2	0	6	6	3	4	2	2	0	4	13	5	6	2	1	0	1	6	4	0	3	1
[Del(C):R3]T	5	5	2	2	0	3	1	3	2	79	5	3	4	4	1	4	9	4	5	1	41	0	1	4	2	4	1	1	2	57	3	1	1	1	3	1	5	3	4	3	3	0	5	6	2	1	4	1	3	2	292	4	4	2	3	4	10	2	2	1	4	4	9	0	3	2	6	3	2	2	2	4	1	7	3	4	0	1	197	3	2	3	99	3	6	3	1	2	2	3	15	9	5	3	5	0	174	1	2	136	4	19	3	7	83	2	34	85	1	4	1	2	1	16	6	2	69	3	1	2	5	5	4	46	2	4	2	7	7	2	2	9	3	2	10	1	1	3	7	3	1	2	6	2	11	3	1	2	0	17	3	2	2	4	5	3	2	3	2	6	1	2	1	4	3	0	4	3	2	69	4	2	0	284	4	0	58	0	2	5	4	2	3	2	6	3	0	0	3	43	1	6	3	13	5	0	0	0	9	117	2	2	5	1	6	6	2	2	4	4	2	1	2	3	1	0	52	101	2	3	9	1	1	4	1	0	3	1	1	1	42	1	6	39	2	1	28	0	1	1	4	4	3	2	1	0	0	1	6	3	6	1	1	5	15	0	6	4	2	1	1	0	3	1	5	8	1	3	5	15	2	2	3	113	1	6	0	4	209	3	3	0	0	15	0	2	5	4	2	2	7	13	2	2	0	9	2	12	5	2	6	3	1	10	4	11	3	1	27	22	2	3	1	2	5	0	3	4	3	1	3	14	2	3	1	1	3	0	4	1	0	3	0
[Del(C):R(4,5)]A	9	5	1	1	0	1	1	2	3	105	8	2	3	5	2	3	10	60	0	4	476	5	4	3	4	2	6	3	5	256	1	3	3	3	1	2	3	1	3	1	5	1	7	12	1	1	5	0	0	2	375	1	3	1	5	2	7	1	3	1	1	5	5	2	3	0	10	6	2	3	2	3	1	4	2	3	0	3	238	6	3	1	100	5	4	1	4	9	16	3	8	3	3	3	4	2	205	1	2	203	10	29	7	4	111	0	46	105	7	3	1	3	1	24	8	3	98	7	1	3	2	3	7	63	4	9	0	2	6	2	4	13	1	2	9	3	2	2	7	3	0	3	9	1	20	4	0	0	1	17	6	2	8	3	3	0	3	2	7	1	1	4	2	1	0	1	2	6	2	98	10	3	2	333	3	0	80	0	2	3	8	3	3	2	1	5	2	1	1	75	1	7	8	18	4	1	0	1	11	186	1	3	5	3	7	3	1	5	1	1	1	5	8	5	1	0	73	148	3	0	9	0	4	2	2	1	4	4	1	0	554	3	13	44	0	3	21	0	2	2	2	5	1	5	1	0	1	2	5	5	7	0	2	2	14	5	6	3	1	6	2	6	3	1	8	7	1	4	2	8	3	6	2	188	2	10	1	3	319	2	7	3	1	11	1	5	3	4	4	7	5	21	1	4	1	14	0	6	3	0	5	2	0	3	2	14	3	5	28	30	3	0	1	5	10	4	2	5	10	0	7	148	4	4	6	4	1	0	3	1	4	2	2
[Del(C):R(4,5)]T	7	1	1	1	0	1	1	1	3	55	9	3	5	7	4	3	11	35	5	3	525	1	1	5	1	1	5	2	3	255	1	1	0	0	0	2	0	2	3	1	2	2	7	6	0	1	0	1	1	5	183	1	3	4	4	2	14	0	1	0	1	0	6	3	4	2	7	2	1	0	0	0	3	2	3	3	1	5	137	7	2	5	52	2	2	0	1	2	7	0	4	6	1	0	3	0	104	3	2	96	6	18	5	10	65	1	32	57	2	1	2	2	2	13	6	0	36	6	2	6	1	4	8	28	2	11	1	2	0	1	2	7	3	1	8	3	2	3	4	1	2	3	4	3	16	2	0	1	4	21	2	5	2	1	2	2	3	1	4	1	2	2	3	2	5	2	3	0	2	50	10	1	0	182	5	2	43	0	2	0	5	2	2	0	4	2	1	1	1	46	1	3	6	9	5	1	0	0	2	101	1	6	3	1	3	2	3	5	4	1	1	2	1	1	0	1	32	96	3	2	9	1	0	3	3	3	0	2	2	1	435	1	5	25	0	1	7	0	0	1	0	6	2	1	6	1	1	1	2	4	3	0	3	1	4	1	2	3	1	1	1	0	3	1	2	6	1	1	2	4	1	2	3	100	0	6	1	2	129	0	3	0	3	7	1	1	7	3	3	7	8	10	0	1	1	3	2	5	3	0	1	1	2	5	0	12	4	0	21	14	0	2	0	1	2	1	1	6	1	1	4	131	5	2	1	2	1	1	4	3	3	3	2
[Del(C):R(1,5)]G	12	4	1	2	0	0	1	4	2	105	11	2	4	6	1	11	7	31	4	9	212	4	0	4	4	2	8	4	7	151	3	2	2	2	3	4	3	3	2	2	4	11	3	1	1	3	4	2	0	5	425	5	7	5	10	2	8	0	3	0	2	1	6	3	3	2	5	6	1	3	0	4	4	8	1	1	1	2	236	10	2	3	90	5	0	1	4	1	9	7	4	2	3	3	4	2	211	0	2	196	8	21	9	7	105	4	47	110	2	2	3	2	1	22	11	0	96	3	3	7	3	0	8	88	1	12	1	7	4	2	1	20	4	0	20	2	6	1	6	0	0	4	5	4	10	6	2	1	6	14	4	1	1	0	3	1	5	3	6	1	4	0	4	3	3	3	0	5	1	86	12	1	3	347	3	4	91	0	2	2	3	3	10	1	2	3	2	1	4	67	3	3	7	28	8	5	0	0	14	168	3	6	7	3	3	4	4	3	3	1	2	2	9	8	1	3	60	142	3	3	6	6	5	3	3	2	3	1	5	1	168	6	11	42	1	5	20	2	1	4	1	9	1	2	3	0	1	1	6	13	10	1	1	2	9	3	6	5	3	2	1	1	3	5	8	5	0	5	4	9	2	5	6	168	1	12	1	2	257	1	2	4	3	9	1	2	5	4	3	3	4	21	1	4	4	10	0	10	3	2	5	2	4	10	2	15	3	3	32	35	2	2	1	2	9	2	4	2	7	4	5	52	10	2	3	2	0	0	6	0	6	5	0
Del(C):R(6,9)	22	4	1	2	0	1	2	2	3	33	18	16	1	2	7	2	23	242	2	4	2427	11	5	2	1	5	1	8	15	1637	7	0	2	0	0	7	1	4	8	1	1	0	8	21	1	1	1	0	0	12	127	0	8	1	14	5	11	0	2	0	1	1	22	13	7	1	2	3	7	1	0	1	5	12	0	3	0	1	110	6	0	1	45	1	0	1	0	13	9	5	12	16	3	2	2	4	74	1	1	76	12	13	12	6	62	0	34	40	3	1	3	1	3	16	12	2	37	59	0	3	0	2	1	45	4	24	1	5	3	2	5	4	3	0	5	8	7	0	4	2	1	13	8	1	7	3	1	1	0	23	3	12	1	0	3	1	6	2	4	3	9	2	2	21	4	1	4	3	4	41	24	4	0	127	1	3	50	0	6	2	2	10	3	1	10	3	1	0	4	48	3	5	7	9	4	0	2	0	18	76	3	5	2	4	2	5	0	12	3	1	0	4	14	6	2	1	22	64	12	3	11	6	1	0	1	3	7	4	2	0	2376	4	8	26	0	1	22	0	2	1	2	6	1	2	2	1	2	1	0	4	10	1	1	2	4	14	9	2	3	1	2	2	5	2	13	5	2	7	1	5	1	4	1	73	3	6	1	3	114	1	5	3	1	17	0	1	3	1	2	11	31	10	0	1	3	10	2	18	11	1	3	2	1	0	0	9	8	13	22	20	1	0	0	1	12	0	0	10	13	0	10	827	5	6	15	4	5	0	6	0	0	1	2
