MutationType	CPCT02070011T	CPCT02020317T	CPCT02010352T	CPCT02010362T	CPCT02010366T	CPCT02010383T	CPCT02050049T	CPCT02020350T	CPCT02060023T	CPCT02080030T	CPCT02060010T	CPCT02040037T	CPCT02070018T	CPCT02080041T	CPCT02070029T	CPCT02060033T	CPCT02020399T	CPCT02140024T	CPCT02080050T	CPCT02030293T	CPCT02010441T	CPCT02090030T	CPCT02010718T	CPCT02020653T	CPCT02340008TII	CPCT02020876T	CPCT02370016T	CPCT02070275T	CPCT02011028T	CPCT02230072T	CPCT02130028T	CPCT02060182T	CPCT02020657T	DRUP01090026T	CPCT02130029T	CPCT02340010TII	DRUP01020022T	CPCT02120103T	CPCT02300030T	CPCT02150044T	CPCT02020920T	CPCT02080192T	CPCT02130170T	CPCT02260014T	CPCT02020922T	CPCT02011072T	CPCT02010758T	WIDE01010006T	CPCT02040220T	CPCT02100157T	CPCT02230088T	CPCT02130178T	WIDE01010017T	WIDE01010025T	WIDE01010028T	WIDE01010012T	WIDE01010031T	CPCT02020956T	CPCT02010774T	CPCT02010756T	WIDE01010045T	CPCT02080204T	WIDE01010037T	WIDE01010056T	CPCT02070298T	WIDE01010594T	WIDE01010078T	CPCT02130054T	CPCT02040228T	WIDE01010051T	CPCT02050319T	CPCT02020689T	WIDE01010043T	WIDE01010112T	WIDE01010092T	WIDE01010119T	CPCT02170022T	WIDE01010120T	WIDE01010127T	CPCT02300036T	WIDE01010146T	CPCT02070309T	WIDE01010157T	WIDE01010170T	CPCT02020696T	CPCT02030471T	CPCT02130032T	CPCT02070310T	WIDE01010164T	WIDE01010190T	WIDE01010182T	DRUP01050040TII	WIDE01010225T	CPCT02050348T	WIDE01010275T	CPCT02010810T	CPCT02060206T	WIDE01010284T	WIDE01010330T	WIDE01010312T	WIDE01010317T	WIDE01010337T	CPCT02220043T	CPCT02130094T	WIDE01010329T	WIDE01010331T	CPCT02010828T	WIDE01010101T	WIDE01010349T	WIDE01010342T	WIDE01010359T	WIDE01010370T	WIDE01010369T	CPCT02340084T	DRUP01030015T	CPCT02060236T	CPCT02120125T	CPCT02230098T	DRUP01090015T	WIDE01010401T	CPCT02230105T	CPCT02080223T	CPCT02020730T	CPCT02010831T	WIDE01010428T	CPCT02290039T	CPCT02010843T	CPCT02130103T	CPCT02070337T	WIDE01010440T	WIDE01010404T	CPCT02080229T	CPCT02050363T	CPCT02040250T	CPCT02040251T	CPCT02260022T	CPCT02340090T	CPCT02450013T	CPCT02070347T	CPCT02060140T	CPCT02020720T	CPCT02230109T	DRUP01090019T	CPCT02120144T	CPCT02080240T	CPCT02130125T	CPCT02070355T	CPCT02010872T	CPCT02010878T	CPCT02090054T	CPCT02330117T	CPCT02170031T	CPCT02020765T	CPCT02010851T	CPCT02020756T	DRUP01170001T	WIDE01010617T	WIDE01010627T	CPCT02030502T	CPCT02030507T	WIDE01010595T	CPCT02040273T	CPCT02030520T	CPCT02110075T	CPCT02290050T	CPCT02290053T	CPCT02080257T	CPCT02290054T	CPCT02080256T	CPCT02030497T	DRUP01290001T	CPCT02070372T	CPCT02290051T	CPCT02020815T	CPCT02040271T	CPCT02130154T	CPCT02120164T	CPCT02020797T	DRUP01010099T	CPCT02340104T	CPCT02380018T	CPCT02340010TIII	CPCT02060033TII	CPCT02020582T	DRUP01050040T	CPCT02180041T	CPCT02060137T	CPCT02070403T	CPCT02050264T	CPCT02060143T	CPCT02010988T	CPCT02010993T	CPCT02450003T	CPCT02230049T	CPCT02010995T	CPCT02010878TII	CPCT02010656T	CPCT02010645T	DRUP01330016T	DRUP01080005T	CPCT02020879T	DRUP01090004T	CPCT02020613T	DRUP01110006T	CPCT02010993TII	CPCT02060125T	CPCT02010647T	CPCT02170013T	CPCT02170009T	CPCT02170012T	CPCT02020608T	CPCT02010653T	CPCT02230061T	CPCT02050282T	CPCT02010560T	CPCT02380007T	CPCT02380006T	CPCT02080105T	CPCT02340010T	CPCT02010574T	CPCT02180026T	CPCT02100074T	CPCT02120018T	CPCT02380008T	CPCT02170003T	CPCT02020523T	CPCT02060081T	CPCT02110035T	CPCT02080118T	CPCT02010589T	CPCT02030349T	CPCT02110039T	CPCT02030353T	CPCT02020540T	CPCT02010611T	CPCT02010608T	CPCT02330041T	CPCT02380013T	CPCT02010613T	CPCT02010577T	CPCT02050202T	CPCT02020559T	CPCT02050213T	CPCT02020568T	CPCT02030364T	CPCT02050192T	CPCT02010596T	CPCT02030365T	DRUP01010036T	CPCT02230043T	CPCT02080135T	CPCT02050229T	CPCT02010632T	CPCT02020579T	CPCT02020587T	CPCT02070040T	CPCT02070050T	CPCT02300004T	CPCT02020424T	CPCT02020433T	CPCT02010466T	CPCT02010454T	CPCT02140036T	CPCT02010350T	CPCT02100039T	CPCT02050106T	CPCT02020415T	CPCT02180014T	CPCT02090006T	CPCT02020444T	CPCT02030314T	CPCT02190010T	DRUP01010013T	CPCT02080086T	CPCT02010438T	CPCT02190012T	CPCT02010486T	CPCT02060077T	CPCT02020491T	CPCT02010538T	CPCT02170001T	CPCT02170002T	CPCT02050142T	CPCT02080071T	CPCT02020499T	CPCT02340008T	CPCT02020505T	CPCT02080158T	CPCT02010571T	CPCT02380010T	CPCT02110047T	CPCT02030425T	CPCT02080168T	CPCT02020641T	CPCT02230065T	CPCT02330074T	CPCT02010697T	CPCT02090028T	CPCT02450008T	CPCT02010688T	CPCT02020646T	CPCT02010704T	CPCT02010705T	CPCT02250003T	CPCT02010698T	WIDE01010622T	WIDE01010631T	WIDE01010635T	WIDE01010636T	WIDE01010658T	WIDE01010504T	WIDE01010493T	WIDE01010304T	WIDE01010568T	WIDE01010464T	WIDE01010467T	WIDE01010486T	WIDE01010516T	WIDE01010510T	WIDE01010583T	WIDE01010566T	WIDE01010578T	WIDE01010599T	WIDE01010604T	WIDE01010614T	WIDE01010662T	WIDE01010672T	WIDE01010686T	WIDE01010532T	WIDE01010703T	WIDE01010712T	WIDE01010721T	WIDE01010663T
A[Del(T):R(1,4)]A	22	9	1	3	1	3	9	6	15	57	21	72	8	19	15	17	33	31	14	8	275	13	6	10	4	4	12	6	14	492	7	2	1	5	1	16	3	9	9	7	10	2	17	22	5	4	10	4	5	11	165	4	8	6	28	15	63	3	8	6	8	5	27	16	12	9	16	5	5	8	4	5	8	14	5	5	4	3	85	16	6	6	44	6	6	5	3	38	21	7	30	16	8	10	15	5	90	6	5	63	17	25	35	23	59	4	33	53	6	5	3	9	11	23	10	5	43	15	2	11	1	16	19	52	5	31	11	18	11	5	9	14	12	4	12	40	1	5	20	7	0	23	16	13	16	9	1	4	3	94	13	13	6	6	12	7	13	11	8	8	12	7	13	51	22	3	5	6	10	51	30	5	3	132	7	5	55	3	9	2	53	17	14	5	11	9	4	1	13	65	5	16	11	24	7	4	3	5	47	68	5	8	17	8	17	12	10	25	3	3	8	6	15	13	0	2	40	56	14	5	39	6	4	12	6	8	5	5	1	6	255	3	23	31	4	3	34	3	6	8	5	6	10	3	4	8	8	2	7	9	20	1	4	6	23	13	31	8	2	3	2	3	51	8	23	29	2	13	6	28	7	9	6	69	6	18	7	8	107	12	9	9	14	23	7	7	19	11	4	11	19	15	2	8	15	33	2	53	9	2	7	3	5	36	4	17	11	10	19	16	6	3	4	7	13	3	4	36	20	8	8	80	13	8	13	7	5	3	12	4	15	15	12
A[Del(T):R(1,4)]C	8	0	0	0	0	1	5	4	12	9	8	48	9	20	10	4	23	12	8	3	134	9	0	7	1	4	6	3	6	101	7	1	2	8	2	5	4	9	5	7	4	3	11	14	4	4	3	1	5	4	40	6	1	4	7	4	30	2	6	3	5	3	5	6	3	4	7	5	4	5	3	6	6	17	4	4	2	2	19	11	5	5	9	4	8	2	2	15	14	3	16	8	7	2	6	0	31	0	6	30	11	9	17	14	20	3	3	12	9	6	1	3	4	17	5	0	14	7	1	8	4	8	16	18	1	13	1	6	3	7	4	4	8	7	4	20	3	4	12	3	4	9	8	1	4	5	1	3	5	38	8	8	3	2	9	1	4	4	6	6	8	2	2	28	8	4	2	4	2	12	15	2	5	27	7	3	18	0	5	1	31	5	4	1	7	5	2	1	2	12	2	9	8	13	5	5	0	2	27	16	3	13	7	5	9	8	7	4	2	3	1	3	4	7	1	1	6	20	3	0	24	1	2	5	2	5	3	2	2	4	78	2	18	13	2	2	9	1	3	0	1	7	1	6	2	2	1	2	4	3	15	1	2	3	22	5	4	4	1	1	0	2	22	1	8	7	3	5	4	16	0	2	5	16	2	10	0	4	30	3	2	3	1	8	2	2	18	6	2	6	12	9	4	6	1	30	0	34	6	1	4	1	3	17	8	7	3	4	11	3	3	4	0	2	3	2	0	14	9	3	2	36	3	10	9	5	2	1	7	1	8	11	4
A[Del(T):R(1,4)]G	9	1	0	0	0	1	3	1	13	37	5	21	8	29	4	4	18	10	6	6	126	1	4	5	4	3	5	6	14	75	3	1	5	3	2	6	3	2	5	4	9	5	5	11	5	3	6	1	4	6	100	6	4	1	7	6	34	2	3	3	3	3	7	7	3	6	8	6	2	3	0	6	4	13	2	5	1	1	64	9	3	9	36	3	6	7	4	9	8	3	17	4	6	2	15	3	59	1	6	43	11	8	16	13	22	6	19	30	10	7	2	2	3	15	2	1	20	5	1	8	3	9	19	28	4	10	4	10	4	6	1	4	6	6	9	12	4	1	10	2	3	9	3	10	13	5	2	3	1	31	9	6	9	4	7	5	7	2	5	3	7	4	4	11	9	0	1	5	6	27	12	3	3	93	4	1	26	4	5	2	15	6	3	3	2	4	1	2	6	27	3	6	7	6	6	2	0	1	24	48	2	11	4	5	6	3	3	9	3	3	1	3	9	10	2	4	23	31	7	2	14	6	6	1	2	3	3	4	0	0	84	1	14	25	0	3	14	3	1	2	4	13	4	4	3	2	2	1	6	4	19	3	3	4	30	8	6	3	1	3	3	1	13	2	10	12	2	2	2	14	2	3	2	45	2	14	1	10	62	5	2	3	2	11	2	4	12	4	0	9	5	7	1	5	3	29	3	19	6	3	7	7	1	8	6	4	6	6	12	15	1	2	1	7	3	3	1	8	8	3	3	35	5	6	4	5	3	1	3	1	5	8	1
C[Del(T):R(1,4)]A	7	3	1	1	1	1	4	4	8	48	9	9	7	22	7	10	24	12	2	2	159	4	0	10	3	6	8	4	6	138	1	4	2	4	0	4	1	6	6	5	8	8	16	10	2	2	9	0	7	7	218	3	2	2	10	9	8	2	8	4	5	4	8	8	4	5	9	3	5	4	2	7	7	10	4	12	1	1	121	10	9	6	61	3	9	2	2	12	10	8	14	1	9	5	7	3	93	4	3	93	7	22	24	12	69	4	27	47	4	4	3	9	8	15	6	1	51	1	1	8	3	8	16	44	5	10	5	10	4	5	5	10	7	5	11	1	0	1	10	4	0	10	6	10	15	4	1	1	3	31	9	8	6	5	4	2	6	7	9	7	2	9	4	7	5	1	2	5	6	62	11	2	1	154	5	3	32	1	7	5	13	4	7	4	4	6	2	2	6	46	0	15	8	18	5	4	0	5	22	100	4	9	14	4	15	3	18	10	4	4	1	4	10	15	2	2	31	79	4	1	17	4	4	1	4	4	5	3	3	3	105	2	28	29	2	5	14	1	1	4	4	3	5	5	7	1	3	2	3	2	16	0	3	2	16	7	12	4	5	5	1	1	6	2	28	15	3	8	4	12	4	5	3	89	2	10	1	8	127	3	4	4	5	18	2	6	11	7	4	4	8	12	3	3	4	19	4	25	10	1	4	1	1	23	6	12	5	4	26	22	1	5	7	8	5	4	0	6	5	4	6	53	3	3	2	4	2	0	5	1	1	8	2
C[Del(T):R(1,4)]C	7	4	2	1	0	2	0	5	9	30	7	2	20	19	6	5	29	11	6	0	198	5	4	6	2	7	13	2	12	97	4	3	6	5	1	6	6	2	3	1	6	4	10	16	5	1	6	0	7	4	128	2	3	3	16	10	10	5	4	2	3	2	9	5	5	4	13	5	3	10	1	6	4	10	3	3	4	1	53	9	9	8	47	2	6	2	6	9	10	10	24	6	12	4	9	5	66	4	4	66	21	19	20	19	29	1	21	32	3	2	4	8	6	13	6	5	26	6	0	10	4	1	24	43	2	13	4	5	5	6	2	7	7	7	13	6	7	1	16	2	1	6	7	13	13	4	3	2	1	23	8	8	8	7	8	1	8	3	4	4	5	6	14	5	5	3	1	4	1	28	16	2	2	99	9	2	25	4	3	11	8	5	3	4	6	9	2	2	6	21	3	10	4	9	9	3	1	5	15	46	8	10	13	9	10	6	13	18	3	1	0	7	2	14	3	1	27	56	8	4	27	2	8	2	1	4	4	4	2	3	132	1	22	23	0	3	29	2	2	5	0	13	10	4	2	4	1	1	2	5	16	4	3	3	21	3	11	1	1	8	3	3	2	4	17	14	1	13	5	27	3	2	5	46	7	14	3	3	69	4	3	2	6	15	3	4	15	9	6	2	5	9	7	5	4	12	1	26	6	1	3	2	5	12	4	11	7	6	11	9	0	2	0	7	1	2	5	8	5	5	9	53	3	9	4	10	1	3	8	3	8	10	7
C[Del(T):R(1,4)]G	13	1	1	1	0	2	2	1	8	53	15	9	13	19	7	5	24	7	9	5	142	4	3	4	1	6	12	2	9	51	1	2	4	3	2	5	2	4	13	3	4	2	13	14	7	2	6	1	6	6	243	3	2	3	7	10	5	2	5	2	6	2	3	5	3	7	13	4	5	6	4	6	3	10	4	8	5	0	132	9	6	5	53	3	2	1	10	8	12	8	15	2	6	5	10	3	106	2	1	86	13	27	17	16	67	2	29	58	1	3	2	2	0	16	5	2	61	3	3	6	6	5	25	46	2	5	0	10	8	8	9	17	10	8	8	5	2	4	13	4	5	6	12	6	11	7	3	3	2	21	7	6	9	0	8	5	5	10	7	3	1	6	3	4	8	4	2	6	4	63	5	1	2	219	3	1	46	1	6	7	6	4	5	5	1	6	1	2	8	42	2	9	6	17	4	3	2	4	24	87	5	15	7	10	9	4	10	11	5	3	1	6	6	9	3	3	29	73	4	2	17	6	4	7	1	7	1	2	0	3	90	4	22	23	1	9	31	0	6	5	2	6	6	5	5	5	3	2	4	3	14	2	3	4	23	4	4	6	4	9	6	4	4	2	11	14	3	7	3	21	2	3	3	82	5	24	1	8	137	4	3	4	4	11	3	4	14	8	2	6	4	10	7	4	4	21	3	21	10	4	8	4	4	16	1	14	5	8	18	21	3	3	2	3	7	5	3	4	11	4	6	37	4	10	2	9	2	1	5	2	5	7	0
G[Del(T):R(1,4)]A	5	0	0	2	0	0	4	3	6	16	8	9	4	14	3	4	20	13	8	1	125	1	7	6	1	1	4	2	13	190	1	0	2	4	1	5	4	3	3	4	3	1	5	36	5	3	6	1	4	0	75	2	3	3	9	10	7	0	1	2	7	2	11	4	4	6	14	2	3	3	1	5	3	5	0	2	2	2	35	3	3	3	23	1	2	2	6	8	4	3	5	4	12	5	5	1	25	1	0	23	4	9	17	7	38	3	16	27	3	4	0	4	4	8	5	1	17	5	1	4	1	3	10	23	4	8	3	3	5	4	1	11	5	3	7	4	1	0	17	3	2	5	1	2	11	4	1	0	3	26	7	4	4	1	3	0	2	3	4	0	2	4	4	6	2	1	5	5	1	20	8	4	1	44	7	1	24	2	7	3	11	3	4	5	2	1	1	0	2	19	3	3	2	8	8	2	1	1	15	26	3	13	7	6	4	3	6	17	4	0	2	3	4	6	0	2	17	25	2	4	8	2	3	4	3	6	2	0	1	5	95	3	20	15	0	1	30	0	1	4	0	5	4	5	2	1	1	1	2	4	16	0	2	3	18	5	10	4	2	2	3	1	3	2	12	9	1	3	4	10	1	1	1	24	2	7	4	3	37	3	5	3	2	11	1	4	6	5	1	4	9	6	3	2	7	16	2	20	8	0	2	2	3	18	3	6	6	3	7	5	3	2	1	3	6	1	3	2	32	5	3	43	5	3	2	2	1	0	6	0	3	2	3
G[Del(T):R(1,4)]C	5	1	1	0	1	1	1	5	10	11	15	2	2	18	5	0	11	11	3	1	112	2	0	3	3	2	5	1	11	84	2	0	0	3	3	2	2	2	3	0	3	3	3	16	3	1	3	0	1	5	38	3	0	1	11	5	4	0	3	1	2	2	3	2	1	2	13	2	0	2	0	4	1	10	1	7	1	0	17	7	2	2	14	0	2	2	2	5	6	1	8	5	4	2	2	1	14	2	2	18	6	3	18	8	21	1	8	8	2	1	1	6	0	5	2	0	12	2	0	3	1	6	8	13	2	3	1	5	5	3	0	2	3	5	0	3	3	4	3	1	1	3	5	2	7	2	2	0	1	19	7	3	4	1	3	2	3	4	4	1	3	6	4	6	3	0	4	1	2	15	2	0	2	19	3	0	16	0	2	4	3	3	1	2	5	4	0	0	1	13	4	6	3	6	1	1	0	2	15	13	4	9	6	4	6	5	3	15	1	6	1	1	1	6	0	1	6	10	2	0	12	3	1	0	2	0	3	0	0	2	88	1	13	7	0	2	8	0	2	1	1	2	3	1	2	2	0	1	7	4	11	0	0	1	12	3	6	1	0	2	4	3	0	2	10	7	1	1	0	13	3	0	4	13	0	4	1	5	26	2	0	3	1	0	0	1	15	4	1	3	1	1	1	1	1	11	2	10	4	0	1	0	2	4	1	4	6	4	5	4	3	0	0	1	3	0	3	2	5	2	2	38	2	4	3	5	6	1	2	1	4	3	1
G[Del(T):R(1,4)]G	4	0	1	2	0	2	2	4	5	25	6	9	9	16	2	6	20	9	3	3	129	4	3	6	1	2	3	0	7	86	1	0	2	4	1	3	2	2	5	6	5	0	10	15	5	0	3	0	2	1	122	0	2	4	9	6	5	1	4	2	4	3	9	3	1	1	9	4	2	5	1	4	3	12	2	2	0	5	55	5	2	4	24	0	2	2	4	8	4	1	16	5	6	2	7	1	52	3	2	48	6	12	19	9	25	3	15	20	1	4	0	3	7	12	5	3	15	7	1	8	4	8	11	33	5	16	2	6	8	2	4	2	11	1	2	4	6	3	12	4	1	9	10	4	10	2	3	3	1	14	9	1	8	1	11	1	5	3	9	4	1	2	6	5	3	4	3	1	5	25	15	2	2	74	2	0	29	2	6	5	19	2	4	3	1	6	4	0	3	20	3	8	3	10	4	2	0	0	13	44	3	9	9	4	6	7	2	11	7	0	1	2	4	7	2	0	13	41	2	4	18	5	2	1	1	5	5	3	2	0	105	1	9	9	0	4	25	2	4	0	4	2	3	3	1	2	4	0	3	8	14	1	0	3	19	4	14	3	4	2	3	3	6	1	8	6	3	4	2	10	2	1	6	41	1	16	2	4	59	4	5	3	4	8	10	4	6	7	2	6	7	5	2	4	4	12	4	16	5	1	1	2	3	9	1	6	5	4	4	12	1	0	3	8	2	1	3	2	91	7	4	40	2	3	5	7	1	3	7	3	6	5	1
A[Del(T):R(5,7)]A	16	0	0	2	0	1	0	1	9	15	15	20	2	6	19	7	43	180	4	6	3700	17	9	1	3	0	11	7	16	1265	8	4	0	4	0	23	3	6	10	2	1	4	12	42	0	2	3	0	2	12	42	2	7	2	17	11	50	0	0	0	3	2	34	10	19	1	7	5	3	2	2	0	6	18	4	5	2	2	42	6	0	6	17	7	2	3	2	43	7	1	19	28	19	8	4	3	17	0	2	19	15	10	33	9	32	0	15	16	1	3	1	2	6	16	1	3	6	94	0	3	4	7	3	37	4	59	3	6	7	2	8	4	10	5	2	32	7	2	8	1	0	38	10	3	9	13	1	2	1	85	14	28	6	2	2	7	13	1	7	12	7	2	5	55	9	0	5	2	1	34	61	1	2	32	4	2	30	1	16	3	20	27	7	1	22	14	3	0	10	42	4	7	0	5	5	1	0	3	34	14	7	7	3	13	7	6	11	64	5	3	2	3	20	28	1	3	13	36	27	2	37	2	0	1	5	8	10	1	1	0	2380	10	26	15	0	4	63	1	2	3	2	14	6	3	1	0	3	2	3	10	14	0	1	5	3	26	29	5	0	1	2	1	29	1	47	16	1	5	4	7	5	6	2	13	0	14	0	7	49	1	2	7	3	38	2	7	1	2	5	16	57	19	1	4	3	33	2	52	5	1	1	0	3	5	1	7	14	4	9	5	1	3	0	3	12	0	3	15	10	1	38	935	11	11	32	2	10	0	11	1	7	6	1
A[Del(T):R(5,7)]C	7	2	1	0	0	1	3	1	5	11	9	12	4	5	13	2	29	77	5	4	1616	16	5	3	3	2	4	2	11	539	5	0	1	1	0	8	2	5	3	1	1	1	11	37	0	2	1	0	1	10	18	0	2	0	11	6	31	0	0	5	2	1	31	8	11	4	0	0	1	1	1	0	3	11	4	8	0	0	22	7	2	2	9	4	1	1	2	25	4	1	22	21	13	3	3	4	9	1	1	9	9	4	23	7	18	1	7	8	1	2	1	2	2	4	0	0	5	53	0	2	0	2	3	11	2	44	0	3	3	0	8	5	5	2	2	17	7	0	2	2	1	18	16	5	4	2	0	1	3	38	17	18	2	0	3	3	5	0	3	10	7	1	3	36	5	1	1	1	4	13	46	0	0	17	2	0	17	1	8	2	18	11	2	0	15	7	0	0	8	26	2	3	3	2	2	3	0	2	16	9	3	3	0	8	3	4	9	45	4	5	1	1	14	15	0	1	8	15	8	0	26	0	1	4	0	3	8	1	1	1	1072	3	8	4	1	7	30	1	3	0	2	13	3	1	2	1	2	0	6	9	15	0	2	4	4	12	12	3	1	0	0	1	12	2	21	15	1	3	0	6	3	3	3	12	0	5	0	3	32	2	2	4	1	21	2	4	2	0	0	21	43	10	0	2	2	15	1	31	8	1	2	0	1	2	2	8	9	6	5	2	0	1	0	5	11	0	1	8	13	1	19	450	6	10	21	6	6	0	15	1	0	4	6
A[Del(T):R(5,7)]G	6	0	0	1	0	0	1	1	4	6	9	17	1	1	13	5	29	122	4	0	2544	5	5	0	3	1	4	4	17	672	7	2	1	1	0	12	0	3	5	2	2	3	6	31	1	0	1	0	1	3	43	1	5	1	15	2	31	0	1	0	2	0	28	5	8	3	1	1	1	1	1	1	4	13	1	4	2	1	29	3	3	1	14	3	1	1	3	20	4	0	16	22	7	7	3	2	18	0	5	16	12	5	27	3	24	2	7	15	5	4	0	1	1	3	6	1	7	69	1	3	0	5	7	20	2	31	3	5	8	3	9	1	5	2	3	24	7	2	7	1	1	13	15	2	3	1	1	1	3	41	16	14	2	1	5	5	6	2	5	5	6	2	6	34	2	1	3	3	3	10	31	3	0	22	1	0	20	1	5	0	16	10	5	1	20	9	1	0	6	30	1	6	3	7	3	3	0	1	23	13	3	5	3	7	6	4	6	25	0	3	1	1	13	15	1	1	6	25	10	2	24	3	1	1	2	7	4	0	0	0	1817	4	17	11	1	3	31	0	1	0	7	8	3	1	0	0	1	3	3	8	5	3	1	1	7	22	13	2	1	1	1	0	7	2	20	10	1	0	0	2	2	2	2	11	0	7	0	3	29	0	1	3	2	14	2	3	5	4	2	11	26	6	2	0	5	24	3	23	11	2	2	2	1	2	1	4	11	6	13	6	1	0	0	5	7	1	0	17	3	2	16	585	9	10	23	7	5	0	9	3	2	2	1
C[Del(T):R(5,7)]A	5	3	0	0	0	0	4	0	5	13	8	5	1	2	13	3	23	139	1	3	2023	5	8	2	1	3	4	3	7	577	3	0	0	1	0	5	1	2	0	0	0	3	8	31	0	1	1	0	3	9	45	0	5	2	10	4	22	2	2	3	1	1	24	3	5	0	4	5	1	1	1	1	1	4	2	7	1	1	34	8	0	1	16	0	0	2	3	9	10	2	13	14	3	3	1	1	15	0	0	29	10	5	30	6	25	1	12	17	0	2	0	0	2	7	6	0	11	30	1	6	1	9	4	12	1	20	0	2	5	0	5	4	2	0	2	7	8	3	4	0	0	13	12	0	2	2	0	1	2	36	10	6	1	2	2	0	5	2	3	5	9	1	3	18	7	0	2	1	4	17	21	0	0	53	1	0	25	1	9	0	5	7	3	2	9	5	1	0	3	26	0	2	1	6	5	2	2	0	26	17	2	0	1	7	2	6	22	28	1	1	0	1	9	16	3	2	14	36	7	2	24	1	2	0	0	3	2	0	0	0	1463	1	12	7	0	2	22	1	0	0	0	4	3	1	2	2	0	0	2	2	9	1	3	3	2	13	11	2	1	2	0	1	9	0	16	8	1	1	3	0	1	1	3	17	0	2	1	3	44	2	4	2	0	18	1	3	2	1	1	9	27	8	0	4	1	24	0	25	8	0	1	1	1	2	0	5	9	1	7	5	2	0	0	2	3	1	2	11	9	1	22	529	4	2	18	3	3	0	7	2	5	3	2
C[Del(T):R(5,7)]C	2	0	1	1	0	0	1	1	2	14	6	4	4	1	3	3	19	98	2	3	1673	9	2	2	1	2	3	1	11	533	3	1	0	1	0	12	0	0	1	0	3	2	4	15	1	0	1	0	0	3	46	2	3	2	5	3	9	0	3	1	2	1	18	2	1	0	2	3	2	2	0	0	0	7	1	3	0	1	19	5	3	1	16	2	0	0	1	8	7	1	4	13	4	4	1	5	17	0	0	23	8	3	15	6	22	1	8	7	0	1	0	2	1	4	1	1	8	49	0	1	2	4	4	11	3	17	0	2	2	0	1	6	4	3	4	5	8	1	5	0	0	7	6	3	9	3	0	1	1	22	8	7	2	0	1	0	4	1	0	9	6	2	5	19	7	1	0	1	3	17	16	0	0	26	1	1	24	0	4	0	3	12	2	1	7	3	1	0	7	12	1	6	0	0	0	1	0	2	16	14	3	3	3	3	6	1	8	24	1	2	0	0	4	13	1	3	10	16	12	1	12	1	0	1	0	1	2	1	0	1	1064	1	8	13	0	3	26	2	1	1	0	3	0	2	0	0	0	0	0	9	8	0	2	1	4	16	7	2	0	0	3	4	1	0	9	7	1	3	3	1	3	1	0	13	0	2	1	4	40	2	2	1	0	12	3	1	3	3	2	12	22	10	0	1	3	16	2	19	3	0	2	1	2	0	2	5	8	2	4	3	2	0	0	3	6	0	2	9	8	3	7	506	1	4	6	1	1	0	9	1	3	2	1
C[Del(T):R(5,7)]G	0	1	0	1	0	0	1	0	2	11	5	2	3	2	9	5	21	102	4	3	1883	3	2	4	3	0	2	1	10	440	4	0	0	3	0	7	0	1	0	2	0	1	4	20	1	0	1	0	0	9	43	2	0	2	8	0	13	0	1	0	4	0	14	4	4	3	3	0	2	0	0	0	3	3	0	3	1	0	24	3	1	0	14	1	1	1	1	11	4	0	6	19	5	0	0	0	19	0	1	16	7	4	17	4	17	0	4	13	1	0	1	2	0	6	5	0	8	41	2	6	1	0	6	13	2	24	2	2	3	0	3	3	0	1	0	4	3	0	3	1	0	12	11	1	9	3	0	1	2	10	5	9	0	0	1	1	8	1	3	5	3	0	0	21	6	0	1	0	2	18	24	1	0	43	2	0	24	0	7	1	5	4	5	1	14	3	1	1	0	21	0	2	2	4	1	2	1	2	13	8	6	1	5	3	2	1	9	24	3	1	0	2	4	3	0	1	5	16	4	0	6	0	1	1	0	0	3	0	2	0	1304	1	15	11	0	1	23	0	1	0	1	1	1	0	0	0	1	0	1	1	6	0	0	1	3	11	4	0	0	1	1	0	1	0	18	6	1	2	3	0	1	0	2	12	1	6	0	2	34	2	1	2	1	7	0	2	2	3	0	9	23	2	2	2	1	7	1	16	4	0	1	0	2	2	1	3	3	1	4	8	2	0	2	2	2	0	1	6	5	0	14	466	5	4	11	6	2	0	5	2	4	1	1
G[Del(T):R(5,7)]A	4	1	1	0	0	0	0	3	5	8	5	0	1	1	9	2	16	76	2	1	1366	9	2	0	2	1	5	1	7	504	0	0	0	2	1	7	2	2	2	3	0	1	11	14	0	1	1	0	2	4	20	1	1	2	9	8	6	0	0	0	0	0	12	4	4	1	0	4	1	3	1	3	1	4	1	1	3	1	6	4	1	4	5	1	1	1	0	9	3	3	4	4	4	1	2	4	4	1	0	8	9	2	16	5	10	0	3	9	3	1	3	1	1	6	2	1	5	35	0	5	1	4	1	11	0	12	0	1	5	1	3	3	0	3	3	7	2	0	2	1	0	7	6	3	1	0	3	0	1	19	2	7	1	0	3	1	4	3	5	4	5	1	1	12	4	1	0	0	1	12	14	2	0	16	2	1	15	0	4	1	5	8	2	0	4	6	0	0	2	14	1	1	0	2	0	1	0	0	8	7	1	2	2	4	1	3	6	11	1	1	0	1	6	5	1	1	9	10	7	0	14	2	1	2	0	2	2	1	1	0	855	2	8	5	0	1	16	0	0	0	1	2	1	3	2	1	0	1	1	5	5	1	1	2	5	11	10	1	0	0	1	1	5	0	16	8	0	3	0	4	0	2	1	8	0	3	0	2	9	2	1	1	0	9	0	3	4	3	1	7	18	7	0	1	1	8	2	5	6	0	2	2	0	1	0	6	5	3	7	2	1	0	1	1	4	1	1	5	6	1	10	446	5	5	13	4	4	0	4	2	3	4	2
